   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.09900    0.756    0.120    0.041    0.033   -0.079
 0.09950    0.755    0.120    0.040    0.033   -0.080
 0.10000    0.754    0.121    0.041    0.034   -0.080
 0.10050    0.753    0.122    0.042    0.033   -0.080
 0.10100    0.752    0.122    0.042    0.032   -0.080
 0.10150    0.751    0.123    0.042    0.032   -0.081
 0.10200    0.750    0.124    0.043    0.032   -0.081
 0.10250    0.749    0.124    0.042    0.032   -0.082
 0.10300    0.748    0.125    0.043    0.032   -0.082
 0.10350    0.747    0.126    0.043    0.032   -0.083
 0.10400    0.746    0.127    0.044    0.032   -0.083
 0.10450    0.745    0.127    0.044    0.031   -0.083
 0.10500    0.745    0.128    0.044    0.031   -0.084
 0.10550    0.744    0.128    0.044    0.031   -0.084
 0.10600    0.743    0.129    0.044    0.031   -0.085
 0.10650    0.742    0.130    0.045    0.031   -0.085
 0.10700    0.741    0.131    0.046    0.031   -0.085
 0.10750    0.740    0.131    0.045    0.031   -0.086
 0.10800    0.739    0.131    0.045    0.031   -0.086
 0.10850    0.738    0.132    0.046    0.031   -0.086
 0.10900    0.737    0.133    0.046    0.031   -0.087
 0.10950    0.736    0.134    0.047    0.032   -0.087
 0.11000    0.735    0.134    0.047    0.032   -0.087
 0.11050    0.734    0.135    0.048    0.031   -0.087
 0.11100    0.733    0.136    0.048    0.031   -0.088
 0.11150    0.732    0.136    0.048    0.031   -0.088
 0.11200    0.731    0.137    0.048    0.031   -0.089
 0.11250    0.730    0.137    0.048    0.031   -0.089
 0.11300    0.730    0.138    0.049    0.031   -0.089
 0.11350    0.729    0.139    0.050    0.031   -0.089
 0.11400    0.728    0.140    0.050    0.031   -0.090
 0.11450    0.727    0.140    0.050    0.031   -0.090
 0.11500    0.726    0.141    0.050    0.031   -0.091
 0.11550    0.725    0.142    0.051    0.031   -0.091
 0.11600    0.724    0.142    0.050    0.031   -0.092
 0.11650    0.723    0.143    0.051    0.030   -0.092
 0.11700    0.722    0.144    0.052    0.030   -0.092
 0.11750    0.721    0.144    0.052    0.030   -0.092
 0.11800    0.721    0.145    0.052    0.030   -0.093
 0.11850    0.720    0.145    0.052    0.030   -0.093
 0.11900    0.719    0.146    0.052    0.030   -0.094
 0.11950    0.718    0.147    0.053    0.030   -0.094
 0.12000    0.717    0.147    0.053    0.030   -0.094
 0.12050    0.716    0.148    0.054    0.029   -0.094
 0.12100    0.715    0.149    0.054    0.028   -0.095
 0.12150    0.714    0.149    0.054    0.028   -0.095
 0.12200    0.713    0.150    0.054    0.028   -0.096
 0.12250    0.712    0.151    0.055    0.028   -0.096
 0.12300    0.711    0.151    0.055    0.028   -0.096
 0.12350    0.710    0.152    0.056    0.027   -0.096
 0.12400    0.710    0.153    0.056    0.027   -0.097
 0.12450    0.709    0.154    0.056    0.026   -0.098
 0.12500    0.708    0.153    0.056    0.027   -0.097
 0.12550    0.707    0.154    0.057    0.027   -0.097
 0.12600    0.706    0.154    0.056    0.026   -0.098
 0.12650    0.705    0.156    0.057    0.026   -0.099
 0.12700    0.704    0.157    0.058    0.026   -0.099
 0.12750    0.703    0.157    0.058    0.025   -0.099
 0.12800    0.702    0.158    0.058    0.025   -0.100
 0.12850    0.702    0.158    0.058    0.025   -0.100
 0.12900    0.701    0.159    0.059    0.024   -0.100
 0.12950    0.700    0.159    0.058    0.024   -0.101
 0.13000    0.699    0.160    0.059    0.024   -0.101
 0.13050    0.698    0.160    0.059    0.023   -0.101
 0.13100    0.697    0.161    0.059    0.022   -0.102
 0.13150    0.696    0.162    0.060    0.022   -0.102
 0.13200    0.695    0.162    0.060    0.021   -0.102
 0.13250    0.694    0.163    0.060    0.021   -0.103
 0.13300    0.694    0.164    0.061    0.021   -0.103
 0.13350    0.693    0.165    0.062    0.020   -0.103
 0.13400    0.692    0.165    0.061    0.020   -0.104
 0.13450    0.691    0.165    0.061    0.019   -0.104
 0.13500    0.690    0.167    0.062    0.019   -0.105
 0.13550    0.689    0.167    0.062    0.019   -0.105
 0.13600    0.688    0.167    0.062    0.018   -0.105
 0.13650    0.688    0.168    0.062    0.018   -0.106
 0.13700    0.687    0.169    0.063    0.017   -0.106
 0.13750    0.686    0.169    0.063    0.017   -0.106
 0.13800    0.685    0.169    0.062    0.017   -0.107
 0.13850    0.684    0.171    0.064    0.016   -0.107
 0.13900    0.683    0.171    0.064    0.016   -0.107
 0.13950    0.682    0.171    0.063    0.016   -0.108
 0.14000    0.681    0.172    0.063    0.016   -0.109
 0.14050    0.681    0.173    0.065    0.015   -0.108
 0.14100    0.680    0.174    0.065    0.014   -0.109
 0.14150    0.678    0.173    0.064    0.014   -0.109
 0.14200    0.678    0.174    0.064    0.014   -0.110
 0.14250    0.677    0.175    0.065    0.014   -0.110
 0.14300    0.676    0.176    0.066    0.013   -0.110
 0.14350    0.675    0.176    0.066    0.013   -0.110
 0.14400    0.674    0.176    0.065    0.012   -0.111
 0.14450    0.674    0.177    0.066    0.012   -0.111
 0.14500    0.673    0.178    0.066    0.012   -0.112
 0.14550    0.672    0.178    0.066    0.011   -0.112
 0.14600    0.671    0.178    0.066    0.011   -0.112
 0.14650    0.670    0.180    0.067    0.011   -0.113
 0.14700    0.669    0.180    0.067    0.010   -0.113
 0.14750    0.668    0.181    0.068    0.010   -0.113
 0.14800    0.667    0.181    0.067    0.010   -0.114
 0.14850    0.667    0.182    0.068    0.009   -0.114
 0.14900    0.666    0.183    0.068    0.009   -0.115
 0.14950    0.665    0.182    0.067    0.009   -0.115
 0.15000    0.664    0.183    0.068    0.009   -0.115
 0.15050    0.663    0.184    0.069    0.008   -0.115
 0.15100    0.663    0.185    0.069    0.007   -0.116
 0.15150    0.662    0.185    0.069    0.007   -0.116
 0.15200    0.661    0.185    0.069    0.006   -0.116
 0.15250    0.660    0.186    0.069    0.006   -0.117
 0.15300    0.659    0.187    0.070    0.006   -0.117
 0.15350    0.658    0.187    0.069    0.005   -0.118
 0.15400    0.657    0.187    0.069    0.005   -0.118
 0.15450    0.657    0.188    0.070    0.005   -0.118
 0.15500    0.656    0.189    0.071    0.004   -0.118
 0.15550    0.655    0.189    0.070    0.004   -0.119
 0.15600    0.654    0.189    0.070    0.004   -0.119
 0.15650    0.653    0.190    0.071    0.004   -0.119
 0.15700    0.652    0.191    0.071    0.003   -0.120
 0.15750    0.651    0.191    0.071    0.003   -0.120
 0.15800    0.650    0.191    0.071    0.003   -0.120
 0.15850    0.650    0.192    0.071    0.002   -0.121
 0.15900    0.649    0.193    0.072    0.002   -0.121
 0.15950    0.648    0.193    0.071    0.002   -0.122
 0.16000    0.647    0.193    0.071    0.002   -0.122
 0.16050    0.646    0.194    0.072    0.001   -0.122
 0.16100    0.646    0.195    0.073    0.001   -0.122
 0.16150    0.645    0.195    0.073    0.001   -0.122
 0.16200    0.644    0.196    0.073    0.001   -0.123
 0.16250    0.643    0.196    0.073    0.001   -0.123
 0.16300    0.643    0.197    0.074    0.000   -0.123
 0.16350    0.642    0.197    0.074    0.000   -0.123
 0.16400    0.641    0.198    0.074   -0.000   -0.124
 0.16450    0.640    0.198    0.074   -0.000   -0.124
 0.16500    0.639    0.199    0.074   -0.000   -0.125
 0.16550    0.638    0.200    0.075   -0.000   -0.125
 0.16600    0.638    0.200    0.074   -0.000   -0.126
 0.16650    0.637    0.200    0.075   -0.001   -0.125
 0.16700    0.636    0.200    0.075   -0.001   -0.125
 0.16750    0.635    0.201    0.075   -0.001   -0.126
 0.16800    0.634    0.202    0.076   -0.000   -0.126
 0.16850    0.633    0.202    0.075   -0.001   -0.127
 0.16900    0.633    0.203    0.076   -0.000   -0.127
 0.16950    0.632    0.203    0.076   -0.000   -0.127
 0.17000    0.631    0.204    0.076    0.000   -0.128
 0.17050    0.630    0.204    0.077   -0.001   -0.127
 0.17100    0.629    0.205    0.077   -0.001   -0.128
 0.17150    0.629    0.205    0.077   -0.000   -0.128
 0.17200    0.628    0.206    0.077   -0.000   -0.129
 0.17250    0.627    0.205    0.076   -0.000   -0.129
 0.17300    0.626    0.206    0.077    0.000   -0.129
 0.17350    0.625    0.207    0.078    0.000   -0.129
 0.17400    0.625    0.207    0.077    0.001   -0.130
 0.17450    0.624    0.208    0.078    0.000   -0.130
 0.17500    0.623    0.208    0.078    0.001   -0.130
 0.17550    0.622    0.208    0.078    0.001   -0.130
 0.17600    0.622    0.209    0.078    0.002   -0.131
 0.17650    0.621    0.209    0.078    0.002   -0.131
 0.17700    0.620    0.210    0.079    0.002   -0.131
 0.17750    0.619    0.210    0.079    0.002   -0.131
 0.17800    0.619    0.211    0.079    0.002   -0.132
 0.17850    0.617    0.211    0.079    0.002   -0.132
 0.17900    0.617    0.212    0.080    0.003   -0.132
 0.17950    0.616    0.212    0.080    0.003   -0.132
 0.18000    0.615    0.213    0.080    0.003   -0.133
 0.18050    0.614    0.213    0.081    0.003   -0.132
 0.18100    0.614    0.213    0.080    0.003   -0.133
 0.18150    0.613    0.214    0.081    0.003   -0.133
 0.18200    0.612    0.214    0.081    0.003   -0.133
 0.18250    0.611    0.215    0.082    0.003   -0.133
 0.18300    0.611    0.215    0.081    0.003   -0.134
 0.18350    0.609    0.215    0.081    0.003   -0.134
 0.18400    0.609    0.216    0.082    0.003   -0.134
 0.18450    0.608    0.216    0.082    0.003   -0.134
 0.18500    0.607    0.217    0.083    0.003   -0.134
 0.18550    0.606    0.217    0.082    0.004   -0.135
 0.18600    0.606    0.217    0.082    0.004   -0.135
 0.18650    0.605    0.218    0.083    0.004   -0.135
 0.18700    0.604    0.218    0.083    0.004   -0.135
 0.18750    0.603    0.218    0.083    0.004   -0.135
 0.18800    0.602    0.218    0.082    0.004   -0.136
 0.18850    0.602    0.219    0.083    0.004   -0.136
 0.18900    0.601    0.219    0.083    0.004   -0.136
 0.18950    0.600    0.219    0.083    0.005   -0.136
 0.19000    0.599    0.219    0.083    0.005   -0.136
 0.19050    0.598    0.220    0.084    0.004   -0.136
 0.19100    0.598    0.221    0.085    0.004   -0.136
 0.19150    0.597    0.221    0.085    0.004   -0.136
 0.19200    0.596    0.221    0.084    0.005   -0.137
 0.19250    0.595    0.221    0.084    0.005   -0.137
 0.19300    0.595    0.222    0.085    0.005   -0.137
 0.19350    0.594    0.222    0.085    0.005   -0.137
 0.19400    0.593    0.222    0.085    0.005   -0.137
 0.19450    0.592    0.223    0.086    0.004   -0.137
 0.19500    0.592    0.224    0.086    0.005   -0.138
 0.19550    0.591    0.223    0.085    0.005   -0.138
 0.19600    0.590    0.223    0.085    0.005   -0.138
 0.19650    0.589    0.224    0.086    0.005   -0.138
 0.19700    0.589    0.224    0.086    0.005   -0.138
 0.19750    0.588    0.224    0.086    0.005   -0.138
 0.19800    0.587    0.224    0.086    0.005   -0.138
 0.19850    0.586    0.225    0.086    0.005   -0.139
 0.19900    0.585    0.225    0.086    0.005   -0.139
 0.19950    0.585    0.226    0.087    0.005   -0.139
 0.20000    0.584    0.226    0.087    0.005   -0.139
 0.20050    0.583    0.225    0.086    0.004   -0.139
 0.20100    0.582    0.226    0.087    0.004   -0.139
 0.20150    0.582    0.227    0.088    0.005   -0.139
 0.20200    0.581    0.227    0.088    0.005   -0.139
 0.20250    0.580    0.227    0.087    0.005   -0.140
 0.20300    0.579    0.227    0.087    0.005   -0.140
 0.20350    0.578    0.227    0.087    0.005   -0.140
 0.20400    0.577    0.227    0.087    0.005   -0.140
 0.20450    0.577    0.227    0.087    0.004   -0.140
 0.20500    0.576    0.227    0.087    0.005   -0.140
 0.20550    0.575    0.227    0.087    0.005   -0.140
 0.20600    0.574    0.228    0.088    0.005   -0.140
 0.20650    0.573    0.228    0.088    0.005   -0.140
 0.20700    0.573    0.228    0.088    0.005   -0.140
 0.20750    0.572    0.228    0.088    0.005   -0.140
 0.20800    0.571    0.229    0.088    0.005   -0.141
 0.20850    0.571    0.229    0.089    0.005   -0.140
 0.20900    0.570    0.229    0.088    0.005   -0.141
 0.20950    0.569    0.229    0.088    0.005   -0.141
 0.21000    0.568    0.230    0.089    0.005   -0.141
 0.21050    0.568    0.230    0.089    0.004   -0.141
 0.21100    0.567    0.230    0.089    0.004   -0.141
 0.21150    0.566    0.230    0.089    0.004   -0.141
 0.21200    0.565    0.230    0.089    0.005   -0.141
