   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.09750    0.772    0.075   -0.039   -0.220   -0.114
 0.09800    0.771    0.075   -0.040   -0.221   -0.115
 0.09850    0.770    0.076   -0.040   -0.221   -0.116
 0.09900    0.769    0.077   -0.041   -0.221   -0.118
 0.09950    0.768    0.077   -0.041   -0.223   -0.118
 0.10000    0.768    0.077   -0.041   -0.223   -0.118
 0.10050    0.767    0.079   -0.041   -0.224   -0.120
 0.10100    0.766    0.079   -0.041   -0.225   -0.120
 0.10150    0.765    0.079   -0.041   -0.226   -0.120
 0.10200    0.764    0.080   -0.041   -0.227   -0.121
 0.10250    0.763    0.080   -0.041   -0.228   -0.121
 0.10300    0.762    0.081   -0.041   -0.230   -0.122
 0.10350    0.761    0.082   -0.041   -0.229   -0.123
 0.10400    0.760    0.083   -0.042   -0.230   -0.125
 0.10450    0.759    0.083   -0.042   -0.231   -0.125
 0.10500    0.759    0.083   -0.043   -0.231   -0.126
 0.10550    0.758    0.084   -0.042   -0.232   -0.126
 0.10600    0.757    0.085   -0.041   -0.234   -0.126
 0.10650    0.756    0.085   -0.042   -0.234   -0.127
 0.10700    0.755    0.086   -0.042   -0.235   -0.128
 0.10750    0.754    0.087   -0.043   -0.234   -0.130
 0.10800    0.753    0.086   -0.044   -0.236   -0.130
 0.10850    0.752    0.088   -0.043   -0.236   -0.131
 0.10900    0.752    0.088   -0.043   -0.237   -0.131
 0.10950    0.751    0.088   -0.043   -0.238   -0.131
 0.11000    0.750    0.089   -0.044   -0.239   -0.133
 0.11050    0.749    0.090   -0.043   -0.239   -0.133
 0.11100    0.748    0.090   -0.044   -0.240   -0.134
 0.11150    0.747    0.091   -0.044   -0.240   -0.135
 0.11200    0.746    0.092   -0.044   -0.241   -0.136
 0.11250    0.746    0.092   -0.044   -0.242   -0.136
 0.11300    0.745    0.093   -0.044   -0.242   -0.137
 0.11350    0.744    0.093   -0.045   -0.243   -0.138
 0.11400    0.743    0.094   -0.045   -0.244   -0.139
 0.11450    0.742    0.095   -0.045   -0.244   -0.140
 0.11500    0.741    0.095   -0.045   -0.245   -0.140
 0.11550    0.741    0.096   -0.046   -0.245   -0.142
 0.11600    0.740    0.096   -0.046   -0.245   -0.142
 0.11650    0.739    0.097   -0.046   -0.247   -0.143
 0.11700    0.738    0.098   -0.045   -0.247   -0.143
 0.11750    0.737    0.098   -0.046   -0.247   -0.144
 0.11800    0.737    0.099   -0.047   -0.248   -0.146
 0.11850    0.736    0.099   -0.047   -0.249   -0.146
 0.11900    0.735    0.100   -0.046   -0.250   -0.146
 0.11950    0.734    0.101   -0.047   -0.250   -0.148
 0.12000    0.733    0.101   -0.047   -0.251   -0.148
 0.12050    0.732    0.102   -0.047   -0.251   -0.149
 0.12100    0.731    0.102   -0.048   -0.251   -0.150
 0.12150    0.731    0.103   -0.047   -0.252   -0.150
 0.12200    0.730    0.104   -0.047   -0.253   -0.151
 0.12250    0.729    0.105   -0.047   -0.253   -0.152
 0.12300    0.728    0.104   -0.049   -0.254   -0.153
 0.12350    0.727    0.106   -0.046   -0.256   -0.152
 0.12400    0.727    0.107   -0.047   -0.255   -0.154
 0.12450    0.726    0.108   -0.048   -0.256   -0.156
 0.12500    0.725    0.107   -0.048   -0.255   -0.155
 0.12550    0.724    0.107   -0.049   -0.257   -0.156
 0.12600    0.723    0.108   -0.049   -0.257   -0.157
 0.12650    0.722    0.109   -0.049   -0.258   -0.158
 0.12700    0.722    0.110   -0.048   -0.259   -0.158
 0.12750    0.721    0.111   -0.048   -0.260   -0.159
 0.12800    0.720    0.111   -0.050   -0.259   -0.161
 0.12850    0.719    0.112   -0.050   -0.259   -0.162
 0.12900    0.719    0.112   -0.049   -0.261   -0.161
 0.12950    0.718    0.113   -0.049   -0.261   -0.162
 0.13000    0.717    0.114   -0.050   -0.261   -0.164
 0.13050    0.716    0.114   -0.050   -0.262   -0.164
 0.13100    0.716    0.115   -0.049   -0.263   -0.164
 0.13150    0.715    0.116   -0.050   -0.263   -0.166
 0.13200    0.714    0.116   -0.051   -0.264   -0.167
 0.13250    0.713    0.117   -0.051   -0.264   -0.168
 0.13300    0.713    0.118   -0.050   -0.265   -0.168
 0.13350    0.712    0.119   -0.051   -0.265   -0.170
 0.13400    0.711    0.119   -0.051   -0.266   -0.170
 0.13450    0.710    0.120   -0.051   -0.266   -0.171
 0.13500    0.710    0.121   -0.050   -0.267   -0.171
 0.13550    0.709    0.121   -0.050   -0.268   -0.171
 0.13600    0.708    0.122   -0.051   -0.268   -0.173
 0.13650    0.707    0.123   -0.051   -0.268   -0.174
 0.13700    0.707    0.123   -0.052   -0.268   -0.175
 0.13750    0.706    0.124   -0.052   -0.269   -0.176
 0.13800    0.705    0.124   -0.053   -0.269   -0.177
 0.13850    0.704    0.125   -0.052   -0.270   -0.177
 0.13900    0.704    0.126   -0.051   -0.272   -0.177
 0.13950    0.702    0.126   -0.052   -0.272   -0.178
 0.14000    0.702    0.127   -0.052   -0.272   -0.179
 0.14050    0.701    0.128   -0.053   -0.271   -0.181
 0.14100    0.701    0.129   -0.052   -0.272   -0.181
 0.14150    0.699    0.128   -0.054   -0.272   -0.182
 0.14200    0.699    0.129   -0.053   -0.273   -0.182
 0.14250    0.698    0.130   -0.053   -0.274   -0.183
 0.14300    0.697    0.131   -0.052   -0.274   -0.183
 0.14350    0.696    0.131   -0.053   -0.275   -0.184
 0.14400    0.696    0.132   -0.053   -0.275   -0.185
 0.14450    0.695    0.133   -0.054   -0.274   -0.187
 0.14500    0.694    0.133   -0.055   -0.275   -0.188
 0.14550    0.693    0.134   -0.055   -0.274   -0.189
 0.14600    0.693    0.134   -0.055   -0.276   -0.189
 0.14650    0.692    0.135   -0.054   -0.276   -0.189
 0.14700    0.691    0.136   -0.055   -0.276   -0.191
 0.14750    0.691    0.136   -0.055   -0.276   -0.191
 0.14800    0.690    0.137   -0.055   -0.277   -0.192
 0.14850    0.689    0.138   -0.056   -0.276   -0.194
 0.14900    0.689    0.139   -0.056   -0.277   -0.195
 0.14950    0.687    0.138   -0.056   -0.278   -0.194
 0.15000    0.687    0.139   -0.056   -0.278   -0.195
 0.15050    0.686    0.140   -0.056   -0.278   -0.196
 0.15100    0.686    0.141   -0.057   -0.278   -0.198
 0.15150    0.684    0.141   -0.057   -0.278   -0.198
 0.15200    0.684    0.142   -0.057   -0.278   -0.199
 0.15250    0.683    0.143   -0.058   -0.278   -0.201
 0.15300    0.683    0.143   -0.057   -0.279   -0.200
 0.15350    0.681    0.144   -0.058   -0.279   -0.202
 0.15400    0.681    0.144   -0.059   -0.279   -0.203
 0.15450    0.680    0.145   -0.058   -0.279   -0.203
 0.15500    0.680    0.146   -0.058   -0.279   -0.204
 0.15550    0.679    0.146   -0.059   -0.279   -0.205
 0.15600    0.678    0.146   -0.060   -0.279   -0.206
 0.15650    0.677    0.147   -0.059   -0.280   -0.206
 0.15700    0.676    0.148   -0.059   -0.280   -0.207
 0.15750    0.676    0.148   -0.060   -0.280   -0.208
 0.15800    0.675    0.148   -0.061   -0.280   -0.209
 0.15850    0.674    0.149   -0.061   -0.280   -0.210
 0.15900    0.673    0.150   -0.061   -0.280   -0.211
 0.15950    0.672    0.150   -0.062   -0.280   -0.212
 0.16000    0.672    0.150   -0.062   -0.280   -0.212
 0.16050    0.671    0.152   -0.060   -0.281   -0.212
 0.16100    0.670    0.152   -0.063   -0.279   -0.215
 0.16150    0.670    0.153   -0.062   -0.279   -0.215
 0.16200    0.669    0.153   -0.063   -0.279   -0.216
 0.16250    0.668    0.154   -0.062   -0.280   -0.216
 0.16300    0.667    0.154   -0.064   -0.279   -0.218
 0.16350    0.667    0.155   -0.063   -0.280   -0.218
 0.16400    0.666    0.155   -0.064   -0.279   -0.219
 0.16450    0.665    0.156   -0.064   -0.279   -0.220
 0.16500    0.664    0.156   -0.065   -0.278   -0.221
 0.16550    0.664    0.157   -0.065   -0.278   -0.222
 0.16600    0.663    0.158   -0.065   -0.278   -0.223
 0.16650    0.662    0.158   -0.066   -0.278   -0.224
 0.16700    0.661    0.158   -0.066   -0.278   -0.224
 0.16750    0.660    0.159   -0.066   -0.278   -0.225
 0.16800    0.660    0.159   -0.067   -0.278   -0.226
 0.16850    0.659    0.160   -0.066   -0.278   -0.226
 0.16900    0.658    0.160   -0.068   -0.277   -0.228
 0.16950    0.657    0.161   -0.068   -0.276   -0.229
 0.17000    0.657    0.162   -0.068   -0.276   -0.230
 0.17050    0.656    0.162   -0.068   -0.275   -0.230
 0.17100    0.655    0.162   -0.070   -0.275   -0.232
 0.17150    0.654    0.162   -0.070   -0.275   -0.232
 0.17200    0.654    0.163   -0.069   -0.275   -0.232
 0.17250    0.653    0.163   -0.070   -0.275   -0.233
 0.17300    0.652    0.164   -0.071   -0.274   -0.235
 0.17350    0.651    0.164   -0.072   -0.272   -0.236
 0.17400    0.651    0.165   -0.072   -0.272   -0.237
 0.17450    0.650    0.165   -0.073   -0.271   -0.238
 0.17500    0.649    0.165   -0.073   -0.271   -0.238
 0.17550    0.648    0.165   -0.074   -0.271   -0.239
 0.17600    0.648    0.167   -0.072   -0.271   -0.239
 0.17650    0.647    0.167   -0.073   -0.270   -0.240
 0.17700    0.646    0.167   -0.074   -0.269   -0.241
 0.17750    0.645    0.167   -0.076   -0.268   -0.243
 0.17800    0.645    0.169   -0.075   -0.267   -0.244
 0.17850    0.644    0.168   -0.077   -0.265   -0.245
 0.17900    0.643    0.169   -0.076   -0.266   -0.245
 0.17950    0.642    0.169   -0.077   -0.265   -0.246
 0.18000    0.642    0.170   -0.077   -0.264   -0.247
 0.18050    0.641    0.170   -0.078   -0.263   -0.248
 0.18100    0.640    0.171   -0.078   -0.263   -0.249
 0.18150    0.639    0.171   -0.080   -0.261   -0.251
 0.18200    0.638    0.171   -0.080   -0.260   -0.251
 0.18250    0.637    0.172   -0.079   -0.260   -0.251
 0.18300    0.637    0.172   -0.081   -0.259   -0.253
 0.18350    0.636    0.172   -0.082   -0.258   -0.254
 0.18400    0.635    0.173   -0.081   -0.257   -0.254
 0.18450    0.635    0.173   -0.082   -0.256   -0.255
 0.18500    0.634    0.174   -0.083   -0.255   -0.257
 0.18550    0.632    0.173   -0.086   -0.253   -0.259
 0.18600    0.632    0.174   -0.085   -0.253   -0.259
 0.18650    0.631    0.175   -0.085   -0.252   -0.260
 0.18700    0.630    0.175   -0.085   -0.251   -0.260
