   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.10250    0.764    0.132   -0.029   -0.212   -0.161
 0.10300    0.763    0.133   -0.028   -0.213   -0.161
 0.10350    0.762    0.134   -0.028   -0.213   -0.162
 0.10400    0.761    0.134   -0.030   -0.213   -0.164
 0.10450    0.760    0.135   -0.029   -0.214   -0.164
 0.10500    0.760    0.136   -0.028   -0.215   -0.164
 0.10550    0.759    0.136   -0.029   -0.216   -0.165
 0.10600    0.758    0.137   -0.028   -0.218   -0.165
 0.10650    0.757    0.138   -0.027   -0.218   -0.165
 0.10700    0.756    0.139   -0.028   -0.219   -0.167
 0.10750    0.755    0.139   -0.029   -0.219   -0.168
 0.10800    0.754    0.139   -0.029   -0.220   -0.168
 0.10850    0.753    0.141   -0.028   -0.220   -0.169
 0.10900    0.752    0.141   -0.029   -0.221   -0.170
 0.10950    0.752    0.142   -0.028   -0.223   -0.170
 0.11000    0.751    0.142   -0.028   -0.223   -0.170
 0.11050    0.750    0.143   -0.029   -0.223   -0.172
 0.11100    0.749    0.144   -0.028   -0.224   -0.172
 0.11150    0.748    0.145   -0.028   -0.225   -0.173
 0.11200    0.747    0.145   -0.029   -0.225   -0.174
 0.11250    0.746    0.146   -0.028   -0.226   -0.174
 0.11300    0.746    0.147   -0.028   -0.227   -0.175
 0.11350    0.745    0.148   -0.027   -0.228   -0.175
 0.11400    0.744    0.148   -0.028   -0.228   -0.176
 0.11450    0.743    0.149   -0.028   -0.229   -0.177
 0.11500    0.742    0.150   -0.027   -0.230   -0.177
 0.11550    0.741    0.151   -0.028   -0.229   -0.179
 0.11600    0.740    0.151   -0.028   -0.230   -0.179
 0.11650    0.739    0.152   -0.027   -0.232   -0.179
 0.11700    0.739    0.153   -0.027   -0.232   -0.180
 0.11750    0.738    0.153   -0.028   -0.233   -0.181
 0.11800    0.737    0.155   -0.027   -0.233   -0.182
 0.11850    0.736    0.155   -0.027   -0.234   -0.182
 0.11900    0.735    0.155   -0.028   -0.235   -0.183
 0.11950    0.734    0.156   -0.028   -0.235   -0.184
 0.12000    0.733    0.157   -0.027   -0.236   -0.184
 0.12050    0.733    0.158   -0.027   -0.236   -0.185
 0.12100    0.732    0.158   -0.028   -0.237   -0.186
 0.12150    0.731    0.158   -0.028   -0.238   -0.186
 0.12200    0.730    0.160   -0.026   -0.239   -0.186
 0.12250    0.729    0.160   -0.027   -0.239   -0.187
 0.12300    0.728    0.160   -0.028   -0.240   -0.188
 0.12350    0.728    0.162   -0.026   -0.241   -0.188
 0.12400    0.727    0.163   -0.026   -0.241   -0.189
 0.12450    0.726    0.164   -0.027   -0.242   -0.191
 0.12500    0.725    0.163   -0.027   -0.242   -0.190
 0.12550    0.724    0.163   -0.027   -0.243   -0.190
 0.12600    0.723    0.164   -0.027   -0.244   -0.191
 0.12650    0.722    0.166   -0.026   -0.244   -0.192
 0.12700    0.722    0.167   -0.025   -0.246   -0.192
 0.12750    0.720    0.167   -0.026   -0.246   -0.193
 0.12800    0.720    0.168   -0.027   -0.246   -0.195
 0.12850    0.719    0.168   -0.027   -0.247   -0.195
 0.12900    0.718    0.169   -0.026   -0.248   -0.195
 0.12950    0.717    0.170   -0.025   -0.249   -0.195
